Filename,Gloss,Description,Comment
behovspyramide-maslow.mp4,behovspyramide (Maslow),,
beijing-.mp4,Beijing ,,
bein.mp4,bein (hunde b-),,
bein-2.mp4,bein (knokkel),,
bein-3.mp4,bein (kroppsdel),,
beinbrudd.mp4,beinbrudd,,
beinbygning.mp4,beinbygning,,
beirut.mp4,Beirut,,
bekk.mp4,bekk,,
bekken-vannlatingskar.mp4,bekken (vannlatingskar),,
beklage-1.mp4,beklage 1,,
beklage-2.mp4,beklage 2,,
bekreftelse.mp4,bekreftelse,,
bekymret.mp4,bekymret,,
bekymring.mp4,bekymring,,
belastning.mp4,belastning,,
belegg.mp4,belegg,,
belgia-1.mp4,Belgia 1,,
belgia-2.mp4,Belgia 2,,
beloenne-ing.mp4,belønne/-ing,,
beloep.mp4,beløp,,
belte.mp4,belte,,
belysning.mp4,belysning,,
bein-3.mp4,ben (kroppsdel),,
benekte.mp4,benekte,,
benk.mp4,benk,,
bensin.mp4,bensin,,
bensinstasjon.mp4,bensinstasjon,,
bente.mp4,Bente 1,,
bente-2.mp4,Bente 2,,
benytte.mp4,benytte,,
beregne.mp4,beregne,,
beretning.mp4,beretning,,
berg.mp4,berg,,
Bergen.mp4,Bergen,,
berit.mp4,Berit,,
berlin.mp4,Berlin,,
beroemt.mp4,berømt,,
beruset-1.mp4,beruset 1,,
beruset-2.mp4,beruset 2,,
beskjed-1.mp4,beskjed 1,,
beskjed-2.mp4,beskjed 2,,
beskjeden-sjenert.mp4,beskjeden (sjenert),,
beskjeden-tilbakeholden.mp4,beskjeden (tilbakeholden),,
beskylde.mp4,beskylde,,
beskytte.mp4,beskytte,,
beslutte.mp4,beslutte 1,,
bestemt-beslutte.mp4,beslutte 2,,
besoeke-1.mp4,besøke,,
besoeke.mp4,besøke (hos andre),Tegnet brukes i betydningen å dra på besøk.,
besoeke-2.mp4,besøke (hos meg),Tegnet brukes i betydningen å få besøk,
besoeksforbud.mp4,besøksforbud,,
best.mp4,best 1,,
best-2.mp4,best 2,,
best-aller-best.mp4,best: aller best,,
bestaa.mp4,bestå,,
beste.mp4,beste ,,
beste-spiller.mp4,beste spiller,,
bestefar.mp4,bestefar,,
bestefar-2.mp4,bestefar 2,,
besteforeldre.mp4,besteforeldre,,
bestemme-1.mp4,bestemme 1,,
bestemme-2.mp4,bestemme 2,,
bestemor-1.mp4,bestemor 1,,
bestemor-2.mp4,bestemor 2,,
bestemt.mp4,bestemt 1,,
bestemt-beslutte.mp4,bestemt 2,,
bestikk.mp4,bestikk 1,,
bestikk-2.mp4,bestikk 2,,
bestille.mp4,bestille 1,,
bestille-2.mp4,bestille 2,,
besvime-1.mp4,besvime 1,,
besvime-2.mp4,besvime 2,,
besvime-lse.mp4,besvime 3,,
besvime-4.mp4,besvime 4,,
betale-1.mp4,betale 1,,
betale-2.mp4,betale 2,,
betegnelse.mp4,betegnelse,,
betennelse.mp4,betennelse 1,,
betennelse-2.mp4,betennelse 2,,
betinget.mp4,betinget,,
betlehem.mp4,Betlehem,,
betong.mp4,betong,,
bety-dning.mp4,bety/-dning,,
beundre-1.mp4,beundre 1,,
beundre-2.mp4,beundre 2,,
bevare.mp4,bevare,,
bevare-2.mp4,bevare 2,,
bevege-1.mp4,bevege 1,,
bevege-2.mp4,bevege 2,,
bevegelse.mp4,bevegelse,,
bevegelseshemmet.mp4,bevegelseshemmet,,
bever-1.mp4,bever 1,,
bever-2.mp4,bever 2,,
bevilge-ning.mp4,bevilge/-ning,,
bevilgning.mp4,bevilgning,,
bevis.mp4,bevis 1,,
bevis-2.mp4,bevis 2,,
bevisst-het.mp4,bevisst/-het,,
bevisstloes.mp4,bevisstløs 1,,
bevisstlos-2.mp4,bevisstløs 2,,
bibel.mp4,Bibel,,
bibliotek-1.mp4,bibliotek 1,,
bibliotek-2.mp4,bibliotek 2,,
bidra.mp4,bidra,,
bidrag.mp4,bidrag,,
bie.mp4,bie,,
biff.mp4,biff,,
bifil-bifili.mp4,bifil/bifili,,
bigami.mp4,bigami,,
bihulebetennelse.mp4,bihulebetennelse,,
bikini.mp4,bikini,,
bil-1.mp4,bil 1,,
bil-2.mp4,bil 2,,
bilag.mp4,bilag,,
bilbatteri-1.mp4,bilbatteri 1,,
bilbatteri-2.mp4,bilbatteri 2,,
bilbelte.mp4,bilbelte,,
fotografere-2.mp4,bilde (å ta b-),,
bilde-fotografi.mp4,bilde 1,,
bilde-paa-veggen.mp4,bilde 2,,
bilde.mp4,bilde 3,,
bildekomposisjon.mp4,bildekomposisjon,,
bildemanipulering.mp4,bildemanipulering,,
bilderedigering.mp4,bilderedigering,,
bileier.mp4,bileier 1,,
bileier-2.mp4,bileier 2,,
biljard.mp4,biljard,,
billedhogger.mp4,billedhogger,,
billett.mp4,billett 1,,
billett-2.mp4,billett 2,,
billig.mp4,billig,,
bilmerke.mp4,bilmerke,,
biloppretter-1.mp4,biloppretter 1,,
biloppretter-2.mp4,biloppretter 2,,
bind.mp4,bind,,
binde-1.mp4,binde 1,,
binde-2.mp4,binde 2,,
binders.mp4,binders,,
bindevev.mp4,bindevev,,
binding.mp4,binding ,,
bindinger.mp4,bindinger (feks skib-),,
bindingsverk.mp4,bindingsverk 1,,
