Gloss,Signwriting,modified
løgn,M529x546S22a03481x532S10011508x506S20e00492x522S35c00482x482,løgn
skjæringspunkt med x aksen,M525x534S1dc28475x477S10040484x504S20e00511x491S26504511x466S2f900495x479S20500494x492,skjæringspunkt med x aksen
w munn hånd,M542x540S36500482x482S18620524x510,w munn hånd
bergen,M543x518S34700482x483S1f511522x485S21100485x487S26506498x485,bergen
grøt,M522x531S20340500x492S2ea06497x468S20e00485x495S16c48477x510,grøt
"asymptote, vertikal",M513x567S1dc28487x537S1ee13486x514S1f412498x433S22b00495x473,"asymptote, vertikal"
sirkel,M519x530S10050482x500S2e402486x470,sirkel
dø,M521x532S21100485x498S18201490x476S22a04484x517S36d00479x468,dø
energisk,M529x525S20302507x510S2030a479x510S2a600512x475S2a611471x474S2f900479x499S2f900510x499,energisk
barn,M532x555S2ff00482x482S15a50520x513S2f900520x550,barn
senter,M515x523S15a16488x511S1c512485x478,senter
o,M508x508S17610492x492,o
basisk,M514x530S15a48486x471S15a40502x469S26504495x515S21100496x499,basisk
stat,M514x525S15a16487x513S15352486x493S22a04494x475,stat
"y aksen, variant",M519x536S15720501x509S15728481x509S22c00503x464,"y aksen, variant"
stavanger,M534x519S31100482x482S20500484x483S20500506x484S10e10519x489,stavanger
akse,M509x532S10000491x467S22b04493x502,akse
eller,M541x532S1dc09491x502S20e00480x495S20e00510x487S10041520x502S26502460x494S26606492x468,eller
"bolle, liten, til høyre",M574x567S14c48490x529S14c40550x529S28807535x546S2881f511x547S32105482x482S35b04482x482,"bolle, liten, til høyre"
bolle i ovnen,M587x529S35e04457x482S33010501x482S10a20537x487S2b700565x482S21100574x510S2fb04491x523,bolle i ovnen
hei til h,M562x531S33e00479x482S14c20524x491S26506547x509S32407479x482S36d03479x520,hei til h
stolt,M547x535S33200482x482S20e00527x495S2b701528x468S1f540526x511,stolt
nikke,M524x511S20324476x488S23004499x493,nikke
amplitude,M523x535S1000a477x509S10050500x505S22b04507x468S22b00493x465,amplitude
puste ut,M524x597S33500476x482S20500492x566S14c00486x527S26504490x582,puste ut
