Gloss,Signwriting,modified
pek v,M518x555S32103482x483S10002484x540,pek v
dere små,M550x566S10041462x536S2d608484x526S32103450x483S32104482x482S32105514x482,dere små
hytte,M525x520S15a11502x496S15a19474x497S20600490x480,hytte
pek v,M510x515S10041489x485,pek v
nikke,M518x523S30114482x477,nikke
david,M543x518S30007482x483S1f543522x488S2f710522x463S26506522x473,david
der borte v,M518x560S10041468x530S26a01444x507S32402482x483,der borte v
jesus,M527x540S1c518472x509S15a18480x460S20500497x482S1c510497x460S15a10506x507S20500493x529,jesus
y,M515x514S1c550485x486,y
herren,M552x520S10010532x490S22b00536x448S32100482x483,herren
bevis,M514x546S15a36487x515S10e30485x516S20b00488x491S22b04486x454,bevis
med,M512x514S15a37487x486S15a51489x491,med
hærskare,M582x532S14c00540x439S14c08437x444S22a07569x457S22a07547x486S22a07543x509S22a11419x459S22a11436x496S22a11449x518S22520537x421S22520430x427S32107487x482S36d03477x516,hærskare
stor sirkel,M535x543S10057465x513S28a09467x457S28a0b505x461S28a0d504x501,stor sirkel
synge,M530x618S34900482x482S10050515x536S10058473x539S28a26482x577S28a2e477x601,synge
lovprise,M556x518S15a10544x488S15a18531x488S32100482x483S22b20536x453,lovprise
gud,M547x518S10010532x462S32100482x483S22a00529x447,gud
baby,M538x540S15a1e467x465S15a16510x475S37806480x481S37706494x471S20500528x460S20500462x480S26622480x496S26626501x507S2f804477x529,baby
banke,M528x514S11000472x485S26b00501x496,banke
begrep,M567x520S30007482x483S20318552x436S28107528x460S10011520x490,begrep
bensin,M524x522S1dc10500x478S2c300475x499,bensin
beregne,M529x540S22b04475x510S15a00476x462S22520497x475S20f00501x461S14c20471x474,beregne
bevis,M513x542S15a36486x520S22b04487x459S20b00489x496S15a30487x515,bevis
bøker,M524x534S15a10502x466S15a18485x466S2e004503x505S2e01c477x506S20500494x494,bøker
bolle,M552x521S14c48447x480S14c40528x480S28907501x494S2891f471x494,bolle
budskap,M558x549S26711446x483S10010515x518S10018473x519S26707527x482S33b00482x483,budskap
frelse,M578x528S29706499x495S20e00495x516S19a50550x474S19a58421x473S2971e454x495S20308505x480S20300480x480S37600488x496,frelse
frelse,M577x541S29707518x485S20e00492x529S19a50549x461S19a58423x458S2971f441x486S20308504x491S20300479x491S37600485x507,frelse
grunn,M523x514S15a1a479x502S15a12477x486S20500512x490S2f900512x506,grunn
grøt,M520x534S20340503x495S16c48480x513S20e00488x498S2ea33499x466,grøt
h,M507x515S11540492x485,h
h,M528x532S15d39472x501S15d51471x509S26607506x467S20e00495x489,h
hende,M514x534S15a06487x501S10000485x504S24e00486x466,hende
hvem,M540x541S30c00482x482S11500490x511S20600518x506S33b00482x482,hvem
i,M510x510S19220489x491,i
mine,M513x518S15d01487x483S20600491x507,mine
stolt,M552x523S33200482x488S10052522x495S30100482x477S2b701523x461S20e00521x488,stolt
melk,M545x543S30006482x482S1f520521x490S21100520x509S22a04521x528,melk
vann,M545x543S30006482x482S1f520521x490S21100520x509S22a04521x528,vann
melk,M543x540S33d00482x483S1f510494x525S26504529x499,melk
navn,M531x518S15a06470x483S10001475x488S26506516x481S21100502x482,navn
normalfordelingskurve,M545x531S2f804489x520S28a0a490x469S28807470x483S28805525x490S15a50456x504,normalfordelingskurve
parallelle plan,M515x551S15a12485x505S15a1a488x539S26720494x448,parallelle plan
reise,M526x527S11559474x502S26627504x473S11551490x500,reise
reise i siksak,M536x526S11559463x501S11551479x499S27d27498x474,reise i siksak
reise til forskellige steder,M539x540S11559473x515S11551489x513S26611460x479S26617517x479S26610492x461,reise til forskellige steder
reise dit stadig vekk,M523x530S11559476x505S11551492x503S26f20483x470,reise dit stadig vekk
ren,M531x520S20e00496x503S15a37473x488S26607509x481S15a51469x497,ren
unskyld,M528x516S20e00500x499S15a37477x484S15a51473x493S26a07507x484,unskyld
sammen,M536x514S15a40502x487S15a48487x487S26502521x495S26516464x495,sammen
hotell,M519x539S15d49494x516S15a41482x478S37700500x500S20800482x522S27109492x461,hotell
sentrum,M516x538S15a16487x526S1c512484x493S20500505x512S29503491x461,sentrum
20,M515x517S11502485x502S22a04492x483,20
sitte,M521x529S11851490x489S11557479x502S20600490x472,sitte
seilbåt,M513x536S20500500x525S15b28487x496S15a00501x491S26520492x464,seilbåt
skjæringspunkt,M536x554S10011491x465S10019474x458S21100474x447S22b05512x491S10011483x512S10019465x504S22a01505x540S20500468x497,skjæringspunkt
skjæringspunkt,M535x553S15a19473x456S20500467x496S21100468x447S22b05511x490S15a19466x501S22a01504x539S10011486x465S10011482x511,skjæringspunkt
mat,M536x556S33b00482x482S18507505x518S22a01523x542,mat
spise,M538x559S33b00482x482S1eb37503x517S22f01517x538,spise
storgråte,M534x535S10000497x503S10008487x505S21600518x511S21600472x511S20e00467x494S20e00521x494S31900482x482S26610464x460S26600518x460,storgråte
sulten,M532x531S15a0b467x507S22b14483x487S22b04500x487S21100483x468S21100504x468S15a03509x508,sulten
sur,M539x546S2e300489x519S15300524x510S34600482x482,sur
bleie,M549x569S15a36492x554S37806456x560S32104482x482S28c00511x541S15a40537x542,bleie
syria,M540x545S34b00482x482S15300525x514S10002462x530S29001494x518,syria
når?,M552x521S11300528x491S1dc00528x491S21100518x492S30c00482x483S22220519x481S2f700523x468,når
trykk,M513x521S15a16486x509S20312489x494S2f920491x478,trykk
vann,M528x552S10a10493x523S30004482x482S20e00515x519S22a04515x537,vann
vann,M536x513S28706504x489S14c51464x487,vann
v,M507x515S10e20492x485,v
x,M510x513S10620489x487,x
x,M521x528S10020506x498S22b03479x471S22b05482x472,x
x,M515x515S10019485x484S10011494x485,x
y,M514x510S19a20486x490,y
y,M511x526S1dc2f488x474S10010490x496,y
z,M531x521S10020516x491S2460a469x479,z
æ,M507x512S15420492x487,æ
æ,M514x527S15428485x502S15420499x499S20700491x473,æ
mitokondrie,M515x524S15448486x480S15440500x477S20700490x509,mitokondrie
sant,M517x517S20300487x482S20304482x502S20b00504x496,sant
ø,M510x527S1d510489x498S22a00490x473,ø
ø,M508x518S17610492x502S22a00494x483,ø
ø,M513x517S17618487x483S10011492x487,ø
å,M510x520S1f720490x481S22e04493x502,å
fisk,M508x532S15a40495x505S28700492x468,fisk
ål,M509x545S10050494x515S28700490x456,ål
observere,M570x555S31400482x483S10e50524x500S22a04523x538S22a04557x540,observere
okse,M520x542S33200482x482S1ce02475x520S20800510x522,okse
ku,M537x518S10028465x467S10020520x468S2ff00482x483S26500523x452S26510460x451,ku
bison,M529x518S19220508x474S19228470x475S2ff00482x483,bison
onkel,M525x529S10049475x483S10041487x485S26a05504x508S20e00475x471,onkel
onkel,M526x529S26a05505x508S20e00476x471S11549473x488S11541485x488,onkel
kjøtt,M520x518S18547492x491S20800510x487S15a0a481x483S2f900509x498,kjøtt
mandag,M539x550S18c00491x520S30004482x482S20600517x515,mandag
tirsdag,M518x537S10a00498x511S20600472x519S34800482x482,tirsdag
torsdag,M518x538S10a00498x512S20600473x517S34400482x482,torsdag
onsdag,M513x528S1ce10491x472S22f04487x514,onsdag
fredag,M553x534S10002492x512S21600495x521S26a06539x507S20e00525x513S2ff00482x483,fredag
lørdag,M518x527S1dc20494x474S22f03482x506,lørdag
januar,M540x548S19200519x505S20e00509x518S22f03494x527S30005482x483,januar
februar,M539x537S10002490x513S21600491x519S26a06525x510S20e00473x512S2ff00482x483,februar
mars,M568x511S1851c543x495S18514431x496S22104445x489S22104542x489S26612462x490S26606506x491,mars
april,M538x545S19a10464x525S20e00495x522S33200482x482S26b00511x520,april
mai,M523x519S18001484x481S20500477x507S20500513x508,mai
juni,M519x549S14c38487x518S17712491x450S29600492x479S22106480x460S22102512x459,juni
august,M539x560S15410524x498S30005482x482S2e000516x531,august
september,M517x513S1f420488x498S22114482x486,september
oktober,M542x517S17610492x483S20600520x487S2ff00482x482,oktober
november,M533x515S15a42483x494S15a48467x484S26a02519x488,november
ung,M520x557S36a00482x482S1ed06491x531S2b800458x516S20e00481x517S20e00508x517S30300482x471,ung
ungdom,M518x578S36a00482x477S1ed06491x535S20e00502x522S20e00487x522S22f00487x564,ungdom
gammel,M535x575S10000496x505S25104498x542S21100522x496S2ff00482x482,gammel
gammel,M535x554S10000496x505S2ff00482x482S21100522x496S22f04494x540,gammel
farge,M528x534S14c07471x467S14c21477x483S25105503x508,farge
blå,M561x529S1dc01538x488S2ff00482x482S22f03522x508,blå
blå,M580x519S15d20520x492S2ff00482x482S26606550x494,blå
grønn,M546x559S11e20523x489S25104528x526S34400482x482,grønn
lilla,M558x529S31410482x482S11501505x502S28806536x499S21100522x495,lilla
knallrød,M544x530S33b00482x482S10012514x513S26602471x504S2f700494x523,knallrød
tommel opp symbol,M507x512S1f540492x488,tommel opp symbol
vri om (nøkkel),M529x512S1ea30471x490S2c300503x489,vri om
blind,M536x527S31b00482x482S20500526x490S11501504x500,blind
blind,M529x523S31b00482x482S11501504x496,blind
blind,M573x517S31600482x482S15a02500x488S1f702558x483S20e00513x471S26506534x488,blind
døvblind,M530x553S33010479x454S11510515x466S31600479x510S11501503x526,døvblind
døvblitt,M545x521S33010479x482S18517525x494S22103536x488,døvblitt
døvblitt over natten,M545x521S33010479x482S18517525x494S22103536x488S2f700524x476,døvblitt over natten
døvblitt langsomt,M604x517S33010479x482S18510579x492S17c10520x487S26606544x494,døvblitt langsomt
tunghørt,M564x517S33010479x482S10610549x466S26607523x472S21600556x454,tunghørt
høre,M561x530S33010479x483S10010511x500S26606531x493,høre
høreapparat,M577x524S33010479x482S10a20518x487S21100509x469S2c305550x500,høreapparat
lytte,M557x518S33010479x483S15a20524x484S26502542x494,lytte
lytte,M535x518S33010479x483S15a20523x485,lytte
lytte,M532x518S33010479x483S17120515x483,lytte
vottehånd,M509x513S15d20490x486,vottehånd
20,M545x508S11502455x492S11002518x492S26506492x494,20
oppramsing 1,M520x524S14c39482x484S10051490x503S20500479x476,oppramsing
tre,M522x539S14c10478x461S37800488x492S15a1a479x527S2e200502x490,tre
person gå fra tre,M534x536S14c10511x464S10018505x506S26711465x486S2f900517x498,person gå fra tre
joachim,M518x529S30b20482x482S11808460x502S21800457x489S20e00461x474,joachim
igår,M542x521S30006482x482S10053521x469S26504517x506,igår
igår,M542x531S30006482x482S10053521x470S26504518x516S20500520x501,igår
tegnskrift,M518x572S15a10501x430S15a18484x428S2e800503x468S2e84c485x463S15a07482x514S1eb10490x522S24804497x544,tegnskrift
200,M509x542S11500492x459S17610492x492S22b04493x512,200
bibel,M522x574S22a06494x546S15a08501x427S15a00487x427S2df04501x459S2df1c479x459S15a00487x501S21100488x529S22b04487x544S11502492x510,bibel
bok,M521x526S2df1c478x505S15a08500x473S15a00486x473S2df04500x505,bok
bøker,M521x531S2e004500x503S15a08499x469S15a00485x469S2e01c479x503,bøker
lukas,M578x532S1dc20422x468S11520459x468S2a20c456x504S14020482x468S1f720521x482S1f420549x482S22104551x472,lukas
lukas evangeliet,M544x547S34600482x482S10019466x517S10011513x517S26607522x490S26611456x486,lukas evangeliet
kapittel 2,M533x537S15d0a466x464S1ef26471x476S22a04472x522S20e00474x507S10e00515x471S2d606511x511,kapittel
vers,M537x513S15d08463x486S1ef20473x494S20e00507x495S26506522x494,vers
1 til 14,M553x526S1f502447x492S20500454x478S10001465x494S26606492x491S14450531x473S22e04531x508,1 til
desember,M549x541S10010514x460S10018465x459S22a04517x507S22a04526x526S22a14468x507S22a14459x525S26605527x503S26613451x501,desember
kapellan,M524x535S36d00479x465S10001501x505S23302484x474S21100511x477,kapellan
albert,M542x521S2ff00482x482S20600520x492S1fa10517x506,albert
200,M508x525S10e50493x495S26500493x475,200
21,M535x517S10000520x487S11502465x501S22a04476x483,21
22,M534x517S11500519x487S11502466x502S22a04471x484,22
13,M512x526S11e50488x475S22e04495x508,13
18,M533x526S11e50509x475S22e04516x508S14c58467x479,18
uke,M524x510S1ed20475x490S26506509x496,uke
juni,M545x537S19220523x472S11504472x505S11500472x464S19220524x501S28804455x483S2a20c494x470S2a204495x509,juni
juli,M539x537S19220517x472S2a204489x509S11500466x464S19220518x501S1dc10462x499S2a20c488x470,juli
mai,M522x545S16d48477x498S22b00503x491S21300477x526S17706503x525S14c00499x455,mai
2008,M561x520S10e00439x481S11e00538x480S17610467x503S26606493x504,2008
12,M526x515S1dc01503x485S1eb41473x496,12
12,M520x519S21b00512x489S1dc41489x489S21b00480x481,12
8,M530x515S11e00507x484S14c08470x484,8
9,M528x516S14400506x485S14c08472x484,9
30,M517x519S26506502x480S21600483x483S11e02484x496,30
februar,M520x533S16f31491x482S16f59483x467S21310480x509S2f900484x528S2f900504x528,februar
januar,M538x537S17106493x520S17112490x510S1711a492x464S1711e490x474S2a218461x488S2a20c515x492,januar
oktober,M547x539S2ff00482x482S14c50523x471S22a04529x506S22a04529x524,oktober
desember,M553x524S28c07500x490S28c1f472x489S22a17481x477S22a01504x478S10011532x494S10019447x492,desember
september,M523x524S1f50a507x500S14c12492x482S22522477x477,september
32,M533x525S18601476x488S21600467x479S22a05500x511S10e00518x475,32
41,M534x526S14401471x485S21600465x477S22a05497x512S10000519x474,41
42,M530x526S14401475x485S21600469x477S22a05501x512S10e00515x474,42
43,M531x527S14401475x486S21600469x478S22a05501x513S18600513x473,43
44,M531x527S14401475x486S21600469x478S22a05501x513S14400509x472,44
45,M531x526S14401475x485S21600469x477S22a05501x512S14c00508x473,45
46,M531x524S14401475x483S21600469x475S22a05501x510S1f502516x477,46
47,M532x527S14401474x486S21600468x478S22a05500x513S1dc01509x473,47
48,M531x527S14401475x486S21600469x478S22a05501x513S11e01506x472,48
49,M537x533S26500518x466S21600463x487S22a05496x519S14410515x489S14401471x495,49
51,M533x526S14c01474x488S21600467x479S22a05499x512S10000518x474,51
52,M530x527S14c01477x489S21600470x480S22a05502x513S10e00515x473,52
33,M531x525S18601478x488S21600469x479S22a05502x511S18600513x475,33
34,M533x526S18601475x489S21600466x480S22a05499x512S14400511x473,34
35,M533x526S18601475x489S21600466x480S22a05499x512S14c00510x473,35
36,M533x523S18601476x486S21600467x477S22a05500x509S1f502518x478,36
37,M535x523S18601474x486S21600465x477S22a05498x509S1dc01512x478,37
38,M533x524S18601475x487S21600466x478S22a05499x510S11e01508x476,38
39,M539x530S26500520x469S21600461x487S22a05493x516S14410517x492S18601471x496,39
januar,M522x537S17116488x520S17112488x510S1711a490x464S1711e488x474S20800512x473S20800477x518,januar
skrift,M523x527S15d09476x496S1eb20484x508S26507510x473S20e00498x486,skrift
tegn,M524x521S14c48476x478S14c10501x482S21100494x507,tegn
tegnskrift,M528x561S14c48472x440S14c10497x444S21100490x468S14c48474x496S1eb10494x515S24805504x540S20e00489x533,tegnskrift
her,M508x529S10004493x471S22a04491x514,her
positiv,M515x515S1001a485x489S10010497x485,positiv
strikke,M531x541S10049480x475S10041499x473S20500499x459S2a40c506x505S2a414468x505,strikke
trist,M546x532S31400482x482S22a05533x505S21100522x493S10001505x502,trist
trøst,M550x525S31400482x482S15d01503x502S21100519x487S22f05529x492,trøst
ålesund,M560x529S20e00525x485S11500518x499S11510518x449S2ff00482x482S2c700537x458S20500495x485S20500506x468,ålesund
tromsø,M537x546S2ff00482x482S15410520x496S2df00516x525,tromsø
trøndelag,M524x553S36a00482x477S20500514x511S20500477x511S1ed0e491x527,trøndelag
sogn,M578x517S2ff00482x482S1ed10521x484S2c304551x491,sogn
møre,M527x520S15d39477x481S15d50473x493S26503501x494S21100514x480,møre
smør,M524x523S15d39476x483S21100511x477S26503498x492S18257483x498S22103503x511,smør
sist,M524x531S19209476x498S19240503x501S20e00494x487S22a04493x516S22a04494x469,sist
legge seg flat,M536x547S36d00479x525S35000482x482S11500518x517S11508467x516S22104524x507S22104464x506,legge seg flat
zimbabwe,M522x520S26904506x493S18220478x479S37700496x495S37702484x495,zimbabwe
zimbabwe,M537x520S37702469x495S18220463x479S37700481x495S26f00495x483S22f04499x499S2fb06531x492,zimbabwe
skeptisk,M521x537S35100482x482S1dc01486x504S21800465x513S21200456x523S20500511x513,skeptisk
maskin,M546x513S14c02498x487S14c0a471x490S2881c454x490S28804534x489,maskin
"fest, selskap, jubileum",M540x518S20301502x491S20309479x491S20e00497x482S28910460x489S28908525x488,"fest, selskap, jubileum"
bravo,M558x560S34000482x482S14c10535x478S14c18438x478S2e204537x526S2e21c438x523,bravo
glad,M560x576S33f00482x483S15d02487x542S2c600526x542S2c600541x541S20f00490x564,glad
stortinget,M587x526S14c40504x475S14c48475x475S1ce40565x477S1ce48413x476S22a04567x511S22a14419x511S22b12442x492S22b06529x493,stortinget
få,M525x525S15d30506x475S15d38474x476S26504503x510S26514481x510,få
behandle,M541x531S15d02496x469S15d0a475x469S27110459x499S27104501x499S20f00488x519,behandle
forslag,M518x585S15d39486x535S15d31491x542S20500492x567S2f900492x580S35000482x483S32104482x482,forslag
offisiell,M549x529S15d48451x472S15d40530x473S2df08526x508S2df10453x508S15d0a472x491S15d02501x492,offisiell
språk,M516x540S14c39485x461S14c00483x509S21100503x482S22b04486x476,språk
fobi,M552x572S31a00479x488S36f08464x524S30100479x477S36f00475x524S22a00489x542S21100489x558S15300510x546S34900479x488S33a10524x499S2f700540x506,fobi
 s (genitiv),M510x527S15d20489x500S26500496x480S2f900498x472,s
abonnere,M525x523S15d39481x500S1f751475x477S22f04500x480S20b00506x496,abonnere
foster,M521x543S36d00479x457S20300492x512S16f48470x499S20500475x524S20500495x532,foster
"abort, ufrivillig",M521x560S36d00479x441S20300492x496S16f48470x483S20500475x508S14c04489x529S22a04493x513,"abort, ufrivillig"
"abort, frivillig",M558x552S36d00479x449S20300492x504S16f48470x491S20500475x516S14c45532x525S20e00509x505S22a05520x513,"abort, frivillig"
abstrakt,M550x517S2ff00482x482S2e507504x479S14411521x459,abstrakt
addisjon,M515x515S10018492x485S10012485x490,addisjon
addisjon,M518x522S10018488x479S10012481x484S26500504x507,addisjon
atferd,M543x559S10048466x528S10040522x529S29508528x491S29510461x491S22c00527x442S22c10457x444,atferd
atferd,M542x528S15a40493x472S15a48457x472S26626495x498S22a24476x510S22a24529x513,atferd
adgang,M542x534S26600520x466S26610464x468S15d48459x507S15d40523x503,adgang
administrasjon,M554x544S27114447x483S27100514x492S17650512x467S17658459x457S16c40489x522S16c48465x523S26502512x528S26516446x529,administrasjon
adjø,M551x520S2ff00482x482S18220521x505S22114525x494,adjø
adlyde,M529x615S37100478x524S30300481x477S15d00510x549S15d08471x548S32104481x488S22a14479x581S22a04509x581S2f804482x604S37150472x523,adlyde
adoptere,M528x537S14c41502x463S20341472x508S15d39477x514S2b703492x490,adoptere
adoptere,M529x558S16d40511x525S16d48471x524S2f900474x553S2f900515x553S26220492x485S14c01488x453S20500500x441,adoptere
adresse,M523x526S15d39476x492S11533495x474S20e00494x514S26a07502x499,adresse
adresse,M523x526S15d39477x492S11533496x474S20e00495x514S26507508x499,adresse
advare,M540x553S32d00482x482S10010488x523S26500509x523S26500526x523S34c00482x482,advare
advent,M520x518S18100498x412S26224504x446S26224482x447S32100482x483,advent
advent,M541x516S22110513x485S22110466x485S18030511x500S18038460x501,advent
advokat,M528x530S15d41505x470S15d39487x489S26601484x490S21100509x516S21100472x476S26605488x494,advokat
